PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Jaxson Hayes;191.58;26;36;0;0;18;23;21;29;50;9;8;4;9;1;28;21;70;0;0;1121.93;1.041;410
Jay Huff;392.22;82;158;43;104;31;41;14;54;68;21;16;7;32;4;41;26;238;0;0;2689.37;2.6350000000000002;883
Jaylen Brown;686.3;165;371;49;144;96;126;28;86;114;87;49;21;7;17;51;107;475;3;0;1901.09;2.297;1428
Jaylen Martin;3.08;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;244.60999999999999;0.2;9
Jaylen Nowell;168.08;26;73;8;27;7;11;6;14;20;18;8;1;4;3;9;9;67;0;0;782.83;0.37;338
Jaylen Wells;620.7;103;228;46;120;36;45;24;59;83;43;32;10;5;10;44;50;288;0;0;2639.11;1.777;1363
Jaylon Tyson;108.18;12;27;3;11;3;6;10;14;24;11;6;4;0;4;18;5;30;1;0;1431.24;-0.07299999999999998;230
Jayson Tatum;838.58;210;464;88;242;140;175;12;192;204;132;64;28;12;19;57;119;648;11;0;2297.8;3.801;1745
Jazian Gortman;13.88;3;5;2;3;0;0;1;0;1;0;1;0;1;0;2;0;8;0;0;653.35;0.537;32
Jeff Dowtin Jr.;80.3;6;19;1;8;3;4;2;6;8;9;1;3;0;0;5;3;16;0;0;864.01;0.28;178
Jeff Green;39.73;7;13;3;8;0;0;0;4;4;1;2;2;0;0;2;0;17;0;0;815.54;1.054;96
Jerami Grant;714.37;109;287;49;138;70;85;10;67;77;51;31;21;24;21;51;60;337;0;0;2223.22;1.617;1501
Jeremiah Robinson-Earl;507.38;67;153;21;65;23;26;53;74;127;30;22;19;3;11;35;22;178;2;0;2539.66;1.929;1045
Jeremy Sochan;303.53;63;126;4;19;29;42;32;58;90;28;20;11;6;12;29;35;159;4;0;1108.44;1.309;635
Jericho Sims;298.99;19;27;0;0;4;7;31;56;87;15;13;6;9;5;32;13;42;0;0;2402.75;1.092;613
Jett Howard;268.36;37;98;24;75;6;7;10;20;30;12;7;5;6;2;22;4;104;0;0;2655.49;0.012000000000000066;561
Jevon Carter;52.52;7;23;4;16;0;0;1;7;8;6;4;3;0;2;1;0;18;0;0;1255.72;0.406;127
Jimmy Butler;545.55;107;192;9;25;100;127;41;50;91;81;23;21;6;16;20;87;323;1;0;1647.3600000000001;2.411;1108
Jock Landale;155.53;21;47;3;6;10;19;20;26;46;14;7;3;6;11;14;11;55;0;0;1500.1;1.097;341
Joe Ingles;26.14;0;2;0;2;0;0;2;0;2;9;1;0;0;0;5;1;0;0;0;2277.53;0.269;56
Joel Embiid;158.29;35;86;3;23;37;38;8;34;42;18;19;2;6;3;15;31;110;2;0;499.78;0.708;331
John Collins;634.39;147;275;30;69;71;77;53;130;183;55;53;24;18;31;64;75;395;7;0;2211.83;3.039;1328
John Konchar;153.91;11;22;7;18;3;4;12;25;37;11;6;7;6;0;10;5;32;0;0;1312.07;2.794;346
Johnny Davis;141.73;22;44;4;12;6;9;6;19;25;5;4;9;3;3;13;6;54;0;0;1860.65;1.647;317
Johnny Furphy;150.04;17;42;10;24;7;7;10;12;22;6;8;5;4;6;12;10;51;0;0;1637.02;0.419;342
Johnny Juzang;328.26;44;112;29;80;11;13;10;31;41;21;11;7;4;4;37;12;128;0;0;1881.77;0.715;683
Jonas Valančiūnas;447.36;111;196;2;10;54;59;56;122;178;48;40;8;19;12;37;61;278;7;0;2290.16;3.403;973
